date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
Mar  8, 2024 07:49:15.348098000 EST,192.168.4.140,192.168.4.137,5998,58343,1024,0x0002
Mar  8, 2024 07:49:15.348198000 EST,192.168.4.140,192.168.4.137,6389,58343,1024,0x0002
Mar  8, 2024 07:49:15.348312000 EST,192.168.4.140,192.168.4.137,1935,58343,1024,0x0002
Mar  8, 2024 07:49:15.348404000 EST,192.168.4.140,192.168.4.137,1175,58343,1024,0x0002
Mar  8, 2024 07:49:15.348494000 EST,192.168.4.140,192.168.4.137,9002,58343,1024,0x0002
Mar  8, 2024 07:49:15.348585000 EST,192.168.4.140,192.168.4.137,2021,58343,1024,0x0002
Mar  8, 2024 07:49:15.348677000 EST,192.168.4.140,192.168.4.137,1152,58343,1024,0x0002
Mar  8, 2024 07:49:15.348768000 EST,192.168.4.140,192.168.4.137,9418,58343,1024,0x0002
Mar  8, 2024 07:49:15.348861000 EST,192.168.4.140,192.168.4.137,900,58343,1024,0x0002
Mar  8, 2024 07:49:15.348953000 EST,192.168.4.140,192.168.4.137,5960,58343,1024,0x0002
Mar  8, 2024 07:49:15.349055000 EST,192.168.4.140,192.168.4.137,3971,58343,1024,0x0002
Mar  8, 2024 07:49:15.349156000 EST,192.168.4.140,192.168.4.137,15003,58343,1024,0x0002
Mar  8, 2024 07:49:15.349253000 EST,192.168.4.140,192.168.4.137,1044,58343,1024,0x0002
Mar  8, 2024 07:49:15.349354000 EST,192.168.4.140,192.168.4.137,8651,58343,1024,0x0002
Mar  8, 2024 07:49:15.349450000 EST,192.168.4.140,192.168.4.137,636,58343,1024,0x0002
Mar  8, 2024 07:49:15.349551000 EST,192.168.4.140,192.168.4.137,1059,58343,1024,0x0002
Mar  8, 2024 07:49:15.349682000 EST,192.168.4.140,192.168.4.137,7106,58343,1024,0x0002
Mar  8, 2024 07:49:15.349782000 EST,192.168.4.140,192.168.4.137,21571,58343,1024,0x0002
Mar  8, 2024 07:49:15.349890000 EST,192.168.4.140,192.168.4.137,9103,58343,1024,0x0002
Mar  8, 2024 07:49:15.350909000 EST,192.168.4.137,192.168.4.140,58343,3827,0,0x0014
Mar  8, 2024 07:49:15.350910000 EST,192.168.4.137,192.168.4.140,58343,3300,0,0x0014
Mar  8, 2024 07:49:15.351683000 EST,192.168.4.137,192.168.4.140,58343,2010,0,0x0014
Mar  8, 2024 07:49:15.351683000 EST,192.168.4.137,192.168.4.140,58343,51103,0,0x0014
Mar  8, 2024 07:49:15.352448000 EST,192.168.4.137,192.168.4.140,58343,13722,0,0x0014
Mar  8, 2024 07:49:15.352448000 EST,192.168.4.137,192.168.4.140,58343,54328,0,0x0014
Mar  8, 2024 07:49:15.353162000 EST,192.168.4.137,192.168.4.140,58343,62078,0,0x0014
Mar  8, 2024 07:49:15.353163000 EST,192.168.4.137,192.168.4.140,58343,1080,0,0x0014
Mar  8, 2024 07:49:15.353672000 EST,192.168.4.137,192.168.4.140,58343,16992,0,0x0014
Mar  8, 2024 07:49:15.353673000 EST,192.168.4.137,192.168.4.140,58343,1130,0,0x0014
Mar  8, 2024 07:49:15.354089000 EST,192.168.4.137,192.168.4.140,58343,3333,0,0x0014
Mar  8, 2024 07:49:15.354584000 EST,192.168.4.137,192.168.4.140,58343,999,0,0x0014
Mar  8, 2024 07:49:15.354893000 EST,192.168.4.137,192.168.4.140,58343,1083,0,0x0014
Mar  8, 2024 07:49:15.355161000 EST,192.168.4.137,192.168.4.140,58343,3703,0,0x0014
Mar  8, 2024 07:49:15.355425000 EST,192.168.4.137,192.168.4.140,58343,1455,0,0x0014
Mar  8, 2024 07:49:15.356091000 EST,192.168.4.137,192.168.4.140,58343,4449,0,0x0014
Mar  8, 2024 07:49:15.356092000 EST,192.168.4.137,192.168.4.140,58343,5566,0,0x0014
Mar  8, 2024 07:49:15.356391000 EST,192.168.4.137,192.168.4.140,58343,2135,0,0x0014
Mar  8, 2024 07:49:15.356673000 EST,192.168.4.137,192.168.4.140,58343,1434,0,0x0014
Mar  8, 2024 07:49:15.356965000 EST,192.168.4.137,192.168.4.140,58343,11110,0,0x0014
Mar  8, 2024 07:49:15.357432000 EST,192.168.4.137,192.168.4.140,58343,4129,0,0x0014
Mar  8, 2024 07:49:15.357994000 EST,192.168.4.137,192.168.4.140,58343,5998,0,0x0014
Mar  8, 2024 07:49:15.357995000 EST,192.168.4.137,192.168.4.140,58343,6389,0,0x0014
Mar  8, 2024 07:49:15.358308000 EST,192.168.4.137,192.168.4.140,58343,1935,0,0x0014
Mar  8, 2024 07:49:15.358598000 EST,192.168.4.137,192.168.4.140,58343,1175,0,0x0014
Mar  8, 2024 07:49:15.359449000 EST,192.168.4.137,192.168.4.140,58343,9002,0,0x0014
Mar  8, 2024 07:49:15.359450000 EST,192.168.4.137,192.168.4.140,58343,2021,0,0x0014
Mar  8, 2024 07:49:15.359996000 EST,192.168.4.137,192.168.4.140,58343,1152,0,0x0014
Mar  8, 2024 07:49:15.360296000 EST,192.168.4.137,192.168.4.140,58343,9418,0,0x0014
Mar  8, 2024 07:49:15.360583000 EST,192.168.4.137,192.168.4.140,58343,900,0,0x0014
Mar  8, 2024 07:49:15.361067000 EST,192.168.4.137,192.168.4.140,58343,5960,0,0x0014
Mar  8, 2024 07:49:15.361366000 EST,192.168.4.137,192.168.4.140,58343,3971,0,0x0014
Mar  8, 2024 07:49:15.361650000 EST,192.168.4.137,192.168.4.140,58343,15003,0,0x0014
Mar  8, 2024 07:49:15.361987000 EST,192.168.4.137,192.168.4.140,58343,1044,0,0x0014
Mar  8, 2024 07:49:15.362273000 EST,192.168.4.137,192.168.4.140,58343,8651,0,0x0014
Mar  8, 2024 07:49:15.362938000 EST,192.168.4.137,192.168.4.140,58343,636,0,0x0014
Mar  8, 2024 07:49:15.362938000 EST,192.168.4.137,192.168.4.140,58343,1059,0,0x0014
Mar  8, 2024 07:49:15.363528000 EST,192.168.4.137,192.168.4.140,58343,7106,0,0x0014
Mar  8, 2024 07:49:15.363528000 EST,192.168.4.137,192.168.4.140,58343,21571,0,0x0014
Mar  8, 2024 07:49:15.363840000 EST,192.168.4.137,192.168.4.140,58343,9103,0,0x0014
Mar  8, 2024 07:49:15.364039000 EST,192.168.4.140,192.168.4.137,2869,58343,1024,0x0002
Mar  8, 2024 07:49:15.364175000 EST,192.168.4.140,192.168.4.137,8086,58343,1024,0x0002
Mar  8, 2024 07:49:15.364266000 EST,192.168.4.140,192.168.4.137,9111,58343,1024,0x0002
Mar  8, 2024 07:49:15.364366000 EST,192.168.4.140,192.168.4.137,2003,58343,1024,0x0002
Mar  8, 2024 07:49:15.364463000 EST,192.168.4.140,192.168.4.137,705,58343,1024,0x0002
Mar  8, 2024 07:49:15.364561000 EST,192.168.4.140,192.168.4.137,9485,58343,1024,0x0002
Mar  8, 2024 07:49:15.364660000 EST,192.168.4.140,192.168.4.137,2800,58343,1024,0x0002
Mar  8, 2024 07:49:15.364759000 EST,192.168.4.140,192.168.4.137,1192,58343,1024,0x0002
Mar  8, 2024 07:49:15.364856000 EST,192.168.4.140,192.168.4.137,1040,58343,1024,0x0002
Mar  8, 2024 07:49:15.364961000 EST,192.168.4.140,192.168.4.137,10082,58343,1024,0x0002
Mar  8, 2024 07:49:15.365060000 EST,192.168.4.140,192.168.4.137,1974,58343,1024,0x0002
Mar  8, 2024 07:49:15.365157000 EST,192.168.4.140,192.168.4.137,4443,58343,1024,0x0002
Mar  8, 2024 07:49:15.365255000 EST,192.168.4.140,192.168.4.137,9878,58343,1024,0x0002
Mar  8, 2024 07:49:15.365341000 EST,192.168.4.140,192.168.4.137,6667,58343,1024,0x0002
Mar  8, 2024 07:49:15.365440000 EST,192.168.4.140,192.168.4.137,1658,58343,1024,0x0002
Mar  8, 2024 07:49:15.365537000 EST,192.168.4.140,192.168.4.137,1580,58343,1024,0x0002
Mar  8, 2024 07:49:15.365668000 EST,192.168.4.140,192.168.4.137,3322,58343,1024,0x0002
Mar  8, 2024 07:49:15.365765000 EST,192.168.4.140,192.168.4.137,3017,58343,1024,0x0002
Mar  8, 2024 07:49:15.365858000 EST,192.168.4.140,192.168.4.137,8093,58343,1024,0x0002
Mar  8, 2024 07:49:15.365953000 EST,192.168.4.140,192.168.4.137,1060,58343,1024,0x0002
Mar  8, 2024 07:49:15.366045000 EST,192.168.4.140,192.168.4.137,691,58343,1024,0x0002
Mar  8, 2024 07:49:15.366142000 EST,192.168.4.140,192.168.4.137,32779,58343,1024,0x0002
Mar  8, 2024 07:49:15.366248000 EST,192.168.4.140,192.168.4.137,1033,58343,1024,0x0002
Mar  8, 2024 07:49:15.366338000 EST,192.168.4.140,192.168.4.137,49167,58343,1024,0x0002
Mar  8, 2024 07:49:15.366420000 EST,192.168.4.140,192.168.4.137,7004,58343,1024,0x0002
Mar  8, 2024 07:49:15.366514000 EST,192.168.4.140,192.168.4.137,1151,58343,1024,0x0002
Mar  8, 2024 07:49:15.366635000 EST,192.168.4.140,192.168.4.137,3517,58343,1024,0x0002
Mar  8, 2024 07:49:15.366732000 EST,192.168.4.140,192.168.4.137,444,58343,1024,0x0002
Mar  8, 2024 07:49:15.366830000 EST,192.168.4.140,192.168.4.137,19801,58343,1024,0x0002
Mar  8, 2024 07:49:15.366920000 EST,192.168.4.140,192.168.4.137,8002,58343,1024,0x0002
Mar  8, 2024 07:49:15.367011000 EST,192.168.4.140,192.168.4.137,32784,58343,1024,0x0002
Mar  8, 2024 07:49:15.367102000 EST,192.168.4.140,192.168.4.137,6788,58343,1024,0x0002
Mar  8, 2024 07:49:15.367193000 EST,192.168.4.140,192.168.4.137,1117,58343,1024,0x0002
Mar  8, 2024 07:49:15.367286000 EST,192.168.4.140,192.168.4.137,9200,58343,1024,0x0002
Mar  8, 2024 07:49:15.367379000 EST,192.168.4.140,192.168.4.137,30000,58343,1024,0x0002
Mar  8, 2024 07:49:15.367459000 EST,192.168.4.140,192.168.4.137,1035,58343,1024,0x0002
Mar  8, 2024 07:49:15.367551000 EST,192.168.4.140,192.168.4.137,2008,58343,1024,0x0002
Mar  8, 2024 07:49:15.367641000 EST,192.168.4.140,192.168.4.137,2179,58343,1024,0x0002
Mar  8, 2024 07:49:15.367732000 EST,192.168.4.140,192.168.4.137,6565,58343,1024,0x0002
Mar  8, 2024 07:49:15.367822000 EST,192.168.4.140,192.168.4.137,161,58343,1024,0x0002
Mar  8, 2024 07:49:15.367919000 EST,192.168.4.140,192.168.4.137,2035,58343,1024,0x0002
Mar  8, 2024 07:49:15.368019000 EST,192.168.4.140,192.168.4.137,1048,58343,1024,0x0002
Mar  8, 2024 07:49:15.368118000 EST,192.168.4.140,192.168.4.137,2000,58343,1024,0x0002
Mar  8, 2024 07:49:15.368219000 EST,192.168.4.140,192.168.4.137,1039,58343,1024,0x0002
Mar  8, 2024 07:49:15.368344000 EST,192.168.4.140,192.168.4.137,616,58343,1024,0x0002
Mar  8, 2024 07:49:15.368448000 EST,192.168.4.140,192.168.4.137,10004,58343,1024,0x0002
Mar  8, 2024 07:49:15.368565000 EST,192.168.4.140,192.168.4.137,40193,58343,1024,0x0002
Mar  8, 2024 07:49:15.368671000 EST,192.168.4.140,192.168.4.137,7070,58343,1024,0x0002
Mar  8, 2024 07:49:15.368790000 EST,192.168.4.140,192.168.4.137,1688,58343,1024,0x0002
Mar  8, 2024 07:49:15.368890000 EST,192.168.4.140,192.168.4.137,458,58343,1024,0x0002
Mar  8, 2024 07:49:15.369725000 EST,192.168.4.137,192.168.4.140,58343,2869,0,0x0014
Mar  8, 2024 07:49:15.369725000 EST,192.168.4.137,192.168.4.140,58343,8086,0,0x0014
Mar  8, 2024 07:49:15.370254000 EST,192.168.4.137,192.168.4.140,58343,9111,0,0x0014
Mar  8, 2024 07:49:15.370617000 EST,192.168.4.137,192.168.4.140,58343,2003,0,0x0014
Mar  8, 2024 07:49:15.370617000 EST,192.168.4.137,192.168.4.140,58343,705,0,0x0014
Mar  8, 2024 07:49:15.371075000 EST,192.168.4.137,192.168.4.140,58343,9485,0,0x0014
Mar  8, 2024 07:49:15.371354000 EST,192.168.4.137,192.168.4.140,58343,2800,0,0x0014
Mar  8, 2024 07:49:15.371871000 EST,192.168.4.137,192.168.4.140,58343,1192,0,0x0014
Mar  8, 2024 07:49:15.371872000 EST,192.168.4.137,192.168.4.140,58343,1040,0,0x0014
Mar  8, 2024 07:49:15.372181000 EST,192.168.4.137,192.168.4.140,58343,10082,0,0x0014
Mar  8, 2024 07:49:15.372501000 EST,192.168.4.137,192.168.4.140,58343,1974,0,0x0014
Mar  8, 2024 07:49:15.372787000 EST,192.168.4.137,192.168.4.140,58343,4443,0,0x0014
Mar  8, 2024 07:49:15.373072000 EST,192.168.4.137,192.168.4.140,58343,9878,0,0x0014
Mar  8, 2024 07:49:15.373854000 EST,192.168.4.137,192.168.4.140,58343,6667,5840,0x0012
Mar  8, 2024 07:49:15.373854000 EST,192.168.4.137,192.168.4.140,58343,1658,0,0x0014
Mar  8, 2024 07:49:15.373954000 EST,192.168.4.140,192.168.4.137,6667,58343,0,0x0004
Mar  8, 2024 07:49:15.374236000 EST,192.168.4.137,192.168.4.140,58343,1580,0,0x0014
Mar  8, 2024 07:49:15.374637000 EST,192.168.4.137,192.168.4.140,58343,3322,0,0x0014
Mar  8, 2024 07:49:15.374930000 EST,192.168.4.137,192.168.4.140,58343,3017,0,0x0014
Mar  8, 2024 07:49:15.375212000 EST,192.168.4.137,192.168.4.140,58343,8093,0,0x0014
Mar  8, 2024 07:49:15.375495000 EST,192.168.4.137,192.168.4.140,58343,1060,0,0x0014
Mar  8, 2024 07:49:15.376067000 EST,192.168.4.137,192.168.4.140,58343,691,0,0x0014
Mar  8, 2024 07:49:15.376068000 EST,192.168.4.137,192.168.4.140,58343,32779,0,0x0014
Mar  8, 2024 07:49:15.376351000 EST,192.168.4.137,192.168.4.140,58343,1033,0,0x0014
Mar  8, 2024 07:49:15.376833000 EST,192.168.4.137,192.168.4.140,58343,49167,0,0x0014
Mar  8, 2024 07:49:15.377111000 EST,192.168.4.137,192.168.4.140,58343,7004,0,0x0014
Mar  8, 2024 07:49:15.377379000 EST,192.168.4.137,192.168.4.140,58343,1151,0,0x0014
Mar  8, 2024 07:49:15.377641000 EST,192.168.4.137,192.168.4.140,58343,3517,0,0x0014
Mar  8, 2024 07:49:15.377906000 EST,192.168.4.137,192.168.4.140,58343,444,0,0x0014
Mar  8, 2024 07:49:15.378168000 EST,192.168.4.137,192.168.4.140,58343,19801,0,0x0014
